naics_code,description
321991,"This U.S. industry comprises establishments primarily engaged in making manufactured homes (i.e., mobile homes) and nonresidential mobile buildings.  Manufactured homes are designed to accept permanent water, sewer, and utility connections and although equipped with wheels, they are not intended for regular highway movement.

Cross-References. Establishments primarily engaged in--"
321992,"This U.S. industry comprises establishments primarily engaged in manufacturing prefabricated wood buildings and wood sections and panels for prefabricated wood buildings.

Cross-References. Establishments primarily engaged in--"
321999,"This U.S. industry comprises establishments primarily engaged in manufacturing wood products (except establishments operating sawmills and preservation facilities; establishments manufacturing veneer, engineered wood products, millwork, wood containers, pallets, and wood container parts; and establishments making manufactured homes (i.e., mobile homes) and prefabricated buildings and components).

Illustrative Examples:

Cabinets (i.e., housings), wood (e.g., sewing machines, stereo, television), manufacturing
Cork products (except gaskets) manufacturing
Kiln drying lumber
Shoe trees manufacturing
Wood dowels manufacturing
Wood extension ladders manufacturing
Wood handles (e.g., broom, handtool, mop), manufacturing
Wood kitchenware manufacturing
Wood stepladders manufacturing
Wood toilet seats manufacturing
Wood toothpicks manufacturing


Cross-References. Establishments primarily engaged in--"
322110,"This industry comprises establishments primarily engaged in manufacturing pulp without manufacturing paper or paperboard.  The pulp is made by separating the cellulose fibers from the other impurities in wood or other materials, such as used or recycled rags, linters, scrap paper, and straw.

Cross-References. Establishments primarily engaged in--"
322120,"This industry comprises establishments primarily engaged in manufacturing paper from pulp. These establishments may manufacture or purchase pulp.  In addition, the establishments may convert the paper they make.  The activity of making paper classifies an establishment into this industry regardless of the output.

Cross-References. Establishments primarily engaged in--"
322130,"This industry comprises establishments primarily engaged in manufacturing paperboard (e.g., can/drum stock, container board, corrugating medium, folding carton stock, linerboard, tube) from pulp.  These establishments may manufacture or purchase pulp.  In addition, the establishments may also convert the paperboard they make.

Cross-References. Establishments primarily engaged in--"
322211,"This U.S. industry comprises establishments primarily engaged in laminating purchased paper or paperboard into corrugated or solid fiber boxes and related products, such as pads, partitions, pallets, and corrugated paper without manufacturing paperboard.  These boxes are generally used for shipping.

Cross-References. Establishments primarily engaged in--"
322212,"This U.S. industry comprises establishments primarily engaged in converting paperboard (except corrugated) into folding paperboard boxes without manufacturing paper and paperboard.

Cross-References. Establishments primarily engaged in--"
322219,"This U.S. industry comprises establishments primarily engaged in converting paperboard into paperboard containers (except corrugated, solid fiber, and folding paperboard boxes) without manufacturing paperboard.

Illustrative Examples:

Fiber cans and drums (i.e., all-fiber, nonfiber ends of any material) made from purchased paperboard
Milk cartons made from purchased paper or paperboard
Sanitary food containers (except folding) made from purchased paper or paperboard 
Setup (i.e., not shipped flat) boxes made from purchased paperboard


Cross-References. Establishments primarily engaged in--"
322220,"This industry comprises establishments primarily engaged in one or more of the following: (1) cutting and coating paper and paperboard; (2) cutting and laminating paper, paperboard, and other flexible materials (except plastics film to plastics film); (3) manufacturing bags, multiwall bags, sacks of paper, metal foil, coated paper, laminates, or coated combinations of paper and foil with plastics film; (4) manufacturing laminated aluminum and other converted metal foils from purchased foils; and (5) surface coating paper or paperboard.

Cross-References. Establishments primarily engaged in--"
322230,"This industry comprises establishments primarily engaged in converting paper or paperboard into products used for writing, filing, art work, and similar applications.

Illustrative Examples:

Computer paper, die-cut, made from purchased paper
Die-cut paper products for office use made from purchased paper or paperboard
Envelopes (i.e., mailing, stationery) made from any material
Stationery made from purchased paper
Tablets (e.g., memo, note, writing) made from purchased paper
Tapes (e.g., adding machine, calculator, cash register) made from purchased paper


Cross-References."
322291,"This U.S. industry comprises establishments primarily engaged in converting purchased sanitary paper stock or wadding into sanitary paper products, such as facial tissues, handkerchiefs, table napkins, toilet paper, towels, disposable diapers, sanitary napkins, and tampons.
"
322299,"This U.S. industry comprises establishments primarily engaged in converting paper or paperboard into products (except containers, bags, coated and treated paper, stationery products, and sanitary paper products) or converting pulp into pulp products, such as egg cartons, food trays, and other food containers from molded pulp.

Illustrative Examples:

Crepe paper made from purchased paper
Die-cut paper products (except for office use) made from purchased paper or paperboard
Molded pulp products (e.g., egg cartons, food containers, food trays) manufacturing
Paper novelties made from purchased paper


Cross-References. Establishments primarily engaged in--"
323111,"This U.S. industry comprises establishments primarily engaged in commercial printing (except screen printing, books printing) without publishing (except fabric grey goods printing).  The printing processes used in this industry include, but are not limited to, lithographic, gravure, flexographic, letterpress, engraving, and various digital printing technologies.  This industry includes establishments engaged in commercial printing on purchased stock materials, such as stationery, invitations, labels, and similar items, on a job-order basis.  Establishments primarily engaged in traditional printing activities combined with document photocopying services (i.e., quick printers) or primarily engaged in printing graphical materials using digital printing equipment are included in this industry.

Cross-References. Establishments primarily engaged in--"
323113,"This U.S. industry comprises establishments primarily engaged in screen printing without publishing (except books, fabric grey goods, and manifold business forms).  This industry includes establishments engaged in screen printing on purchased stock materials, such as stationery, invitations, labels, and similar items, on a job-order basis.  Establishments primarily engaged in printing on apparel and textile products, such as T-shirts, caps, jackets, towels, and napkins, are included in this industry.

Cross-References. Establishments primarily engaged in--"
323117,"This U.S. industry comprises establishments primarily engaged in printing or printing and binding books and pamphlets without publishing.

Cross-References. Establishments primarily engaged in--"
323120,"This industry comprises establishments primarily engaged in performing prepress and postpress services in support of printing activities.  Prepress services may include such things as platemaking, typesetting, trade binding, and sample mounting.  Postpress services include such things as book or paper bronzing, die cutting, edging, embossing, folding, gilding, gluing, and indexing.

Cross-References. Establishments primarily engaged in--"
324110,"This industry comprises establishments primarily engaged in refining crude petroleum into refined petroleum.  Petroleum refining involves one or more of the following activities: (1) fractionation; (2) straight distillation of crude oil; and (3) cracking.

Cross-References. Establishments primarily engaged in--"
324121,"This U.S. industry comprises establishments primarily engaged in manufacturing asphalt and tar paving mixtures and blocks from purchased asphaltic materials.

Cross-References."
324122,"This U.S. industry comprises establishments primarily engaged in (1) saturating purchased mats and felts with asphalt or tar from purchased asphaltic materials and (2) manufacturing asphalt and tar and roofing cements and coatings from purchased asphaltic materials.

Cross-References. Establishments primarily engaged in--"
324191,"This U.S. industry comprises establishments primarily engaged in blending or compounding refined petroleum to make lubricating oils and greases and/or re-refining used petroleum lubricating oils.

Cross-References. Establishments primarily engaged in--"
324199,"This U.S. industry comprises establishments primarily engaged in manufacturing petroleum products (except asphalt paving, roofing, and saturated materials and lubricating oils and greases) from refined petroleum and coal products made in coke ovens not integrated with a steel mill.

Illustrative Examples:

Biodiesel fuels not made in petroleum refineries and blended with purchased refined petroleum
Coke oven products (e.g., coke, gases, tars) made in coke oven establishments
Petroleum briquettes made from refined petroleum
Petroleum jelly made from refined petroleum
Petroleum waxes made from refined petroleum


Cross-References. Establishments primarily engaged in--"
325110,"This industry comprises establishments primarily engaged in (1) manufacturing acyclic (i.e., aliphatic) hydrocarbons such as ethylene, propylene, and butylene made from refined petroleum or liquid hydrocarbons and/or (2) manufacturing cyclic aromatic hydrocarbons such as benzene, toluene, styrene, xylene, ethyl benzene, and cumene made from refined petroleum or liquid hydrocarbons.

Cross-References. Establishments primarily engaged in--"
325120,"This industry comprises establishments primarily engaged in manufacturing industrial organic and inorganic gases in compressed, liquid, and solid forms.

Cross-References. Establishments primarily engaged in--"
325130,"This industry comprises establishments primarily engaged in manufacturing synthetic organic and inorganic dyes and pigments, such as lakes and toners (except electrostatic and photographic).

Cross-References. Establishments primarily engaged in--"
325180,"This industry comprises establishments primarily engaged in manufacturing basic inorganic chemicals (except industrial gases and synthetic dyes and pigments).

Illustrative Examples:

Alkalies manufacturing
Aluminum compounds, not specified elsewhere by process, manufacturing
Carbides (e.g., baron, calcium, silicon, tungsten) manufacturing
Carbon black manufacturing
Chlorine manufacturing
Hydrochloric acid manufacturing
Potassium inorganic compounds, not specified elsewhere by process, manufacturing
Radioactive isotopes manufacturing
Sulfides and sulfites manufacturing
Sulfuric acid manufacturing


Cross-References. Establishments primarily engaged in--"
325193,"This U.S. industry comprises establishments primarily engaged in manufacturing nonpotable ethyl alcohol.

Cross-References. Establishments primarily engaged in--"
325194,"This U.S. industry comprises establishments primarily engaged in one or more of the following: (1) distilling wood or gum into products, such as tall oil and wood distillates; (2) distilling coal tars; (3) manufacturing wood or gum chemicals, such as naval stores, natural tanning materials, charcoal briquettes, and charcoal (except activated); and (4) manufacturing cyclic crudes or cyclic intermediates (i.e., hydrocarbons, except aromatic petrochemicals) from refined petroleum or natural gas.

Cross-references. Establishments primarily engaged in--"
325199,"This U.S. industry comprises establishments primarily engaged in manufacturing basic organic chemical products (except aromatic petrochemicals, industrial gases, synthetic organic dyes and pigments, gum and wood chemicals, cyclic crudes and intermediates, and ethyl alcohol).

Illustrative Examples:

Biodiesel fuels not made in petroleum refineries and not blended with petroleum
Calcium organic compounds, not specified elsewhere by process, manufacturing
Carbon organic compounds, not specified elsewhere by process, manufacturing
Enzyme proteins (i.e., basic synthetic chemicals) (except pharmaceutical use) manufacturing
Organo-inorganic compound manufacturing
Fatty acids (e.g., margaric, oleic, stearic) manufacturing
Plasticizers (i.e., basic synthetic chemicals) manufacturing
Raw organic waxes manufacturing
Refrigerant mixtures and blends manufacturing
Silicone (except resins) manufacturing
Synthetic sweeteners (i.e., sweetening agents) manufacturing


Cross-References. Establishments primarily engaged in--"
325211,"This U.S. industry comprises establishments primarily engaged in (1) manufacturing resins, plastics materials, and nonvulcanizable thermoplastic elastomers and mixing and blending resins on a custom basis and/or (2) manufacturing noncustomized synthetic resins.

Cross-References. Establishments primarily engaged in--"
325212,"This U.S. industry comprises establishments primarily engaged in manufacturing synthetic rubber.

Cross-References. Establishments primarily engaged in--"
325220,"This industry comprises establishments primarily engaged in (1) manufacturing cellulosic (e.g., rayon, acetate) and noncellulosic (e.g., nylon, polyolefin, polyester) fibers and filaments in the form of monofilament, filament yarn, staple, or tow or (2) manufacturing and texturizing cellulosic and noncellulosic fibers and filaments.

Cross-References. Establishments primarily engaged in--"
325311,"This U.S. industry comprises establishments primarily engaged in one or more of the following: (1) manufacturing nitrogenous fertilizer materials; (2) manufacturing fertilizers from sewage or animal waste; and (3) manufacturing nitrogenous materials and mixing with other ingredients into fertilizers.

Cross-References."
325312,"This U.S. industry comprises establishments primarily engaged in (1) manufacturing phosphatic fertilizer materials or (2) manufacturing phosphatic materials and mixing with other ingredients into fertilizers.

Cross-References."
325314,"This U.S. industry comprises establishments primarily engaged in mixing ingredients made elsewhere into fertilizers.

Cross-References. Establishments primarily engaged in--"
325315,"This U.S. industry comprises establishments primarily engaged in manufacturing compost through the controlled aerobic, biological decomposition and curing of biodegradable materials.

Cross-References. Establishments primarily engaged in--"
325320,"This industry comprises establishments primarily engaged in the formulation and preparation of agricultural and household pest control chemicals (except fertilizers).

Cross-References. Establishments primarily engaged in--"
325411,"This U.S. industry comprises establishments primarily engaged in (1) manufacturing uncompounded medicinal chemicals and their derivatives (i.e., generally for use by pharmaceutical preparation manufacturers) and/or (2) grading, grinding, and milling uncompounded botanicals.

Cross-References. Establishments primarily engaged in--"
325412,"This U.S. industry comprises establishments primarily engaged in manufacturing in-vivo diagnostic substances and pharmaceutical preparations (except biological) intended for internal and external consumption in dose forms, such as ampoules, tablets, capsules, vials, ointments, powders, solutions, and suspensions.

Cross-References. Establishments primarily engaged in--"
325413,"This U.S. industry comprises establishments primarily engaged in manufacturing in-vitro (i.e., not taken internally) diagnostic substances, such as chemical, biological, or radioactive substances. The substances are used for diagnostic tests that are performed in test tubes, petri dishes, machines, and other diagnostic test-type devices.

Cross-References."
325414,"This U.S. industry comprises establishments primarily engaged in manufacturing vaccines, toxoids, blood fractions, and culture media of plant or animal origin (except diagnostic).

Cross-References. Establishments primarily engaged in--"
325510,"This industry comprises establishments primarily engaged in (1) mixing pigments, solvents, and binders into paints and other coatings, such as stains, varnishes, lacquers, enamels, shellacs, and water-repellent coatings for concrete and masonry, and/or (2) manufacturing allied paint products, such as putties, paint and varnish removers, paint brush cleaners, and frit.

Cross-References. Establishments primarily engaged in--"
325520,"This industry comprises establishments primarily engaged in manufacturing adhesives, glues, and caulking compounds.

Cross-References. Establishments primarily engaged in--"
325611,"This U.S. industry comprises establishments primarily engaged in manufacturing and packaging bath, facial, and hand soaps, hand sanitizers, and other detergents, such as laundry and dishwashing detergents; toothpaste gels and tooth powders; and natural glycerin.

Cross-References. Establishments primarily engaged in--"
325612,"This U.S. industry comprises establishments primarily engaged in manufacturing and packaging polishes and specialty cleaning preparations.

Cross-References. Establishments primarily engaged in--"
325613,"This U.S. industry comprises establishments primarily engaged in (1) manufacturing bulk surface active agents for use as wetting agents, emulsifiers, and penetrants and/or (2) manufacturing textile and leather finishing agents used to reduce tension or speed the drying process.
"
325620,"This industry comprises establishments primarily engaged in preparing, blending, compounding, and packaging toilet preparations, such as perfumes, shaving preparations, hair preparations, face creams, lotions (including sunscreens), and other cosmetic preparations.

Cross-References."
325910,"This industry comprises establishments primarily engaged in manufacturing printing and inkjet inks and inkjet cartridges.

Cross-References. Establishments primarily engaged in--"
325920,"This industry comprises establishments primarily engaged in manufacturing explosives.

Cross-References. Establishments primarily engaged in--"
325991,"This U.S. industry comprises establishments primarily engaged in (1) custom mixing and blending plastics resins made elsewhere or (2) reformulating plastics resins from recycled plastics products.

Cross-References."
325992,"This U.S. industry comprises establishments primarily engaged in manufacturing sensitized film, sensitized paper, sensitized cloth, sensitized plates, toners (i.e., for photocopiers, laser printers, and similar electrostatic printing devices), toner cartridges, and photographic chemicals.

Cross-References. Establishments primarily engaged in--"
325998,"This U.S. industry comprises establishments primarily engaged in manufacturing chemical products (except basic chemicals, resins, and synthetic rubber; cellulosic and noncellulosic fibers and filaments; pesticides, fertilizers, and other agricultural chemicals; pharmaceuticals and medicines; paints, coatings and adhesives; soaps, cleaning compounds, and toilet preparations; printing inks; explosives; custom compounding of purchased resins; and photographic films, papers, plates, chemicals, and copy toners).

Illustrative Examples:

Activated carbon and charcoal manufacturing
Antifreeze preparations manufacturing
Electronic cigarette vapor liquids, including closed refills, manufacturing
Industrial salt manufacturing
Lighter fluids (e.g., charcoal, cigarette) manufacturing
Matches and matchbook manufacturing
Pyrotechnics (e.g., flares, flashlight bombs, signals) manufacturing
Sugar substitutes (i.e., synthetic sweeteners blended with other ingredients) made from purchased synthetic sweeteners
Swimming pool chemical preparations manufacturing
Writing inks manufacturing


Cross-References. Establishments primarily engaged in--"
326111,"This U.S. industry comprises establishments primarily engaged in (1) converting plastics resins into plastics bags or pouches and/or (2) forming, coating, or laminating plastics film or sheet into single-web or multiweb plastics bags or pouches.  Establishments in this industry may print on the bags or pouches they manufacture.

Cross-References. Establishments primarily engaged in--"
326112,"This U.S. industry comprises establishments primarily engaged in converting plastics resins into plastics packaging (flexible) film and packaging sheet.

Cross-References. Establishments primarily engaged in--"
326113,"This U.S. industry comprises establishments primarily engaged in converting plastics resins into plastics film and unlaminated sheet (except packaging).

Cross-References. Establishments primarily engaged in--"
326121,"This U.S. industry comprises establishments primarily engaged in converting plastics resins into nonrigid plastics profile shapes (except film, sheet, bags, and hoses), such as rod, tube, and sausage casings.

Cross-References. Establishments primarily engaged in--"
326122,"This U.S. industry comprises establishments primarily engaged in converting plastics resins into plastics pipes and pipe fittings.

Cross-References. Establishments primarily engaged in--"
326130,"This industry comprises establishments primarily engaged in laminating plastics profile shapes such as plate, sheet (except packaging), and rod. The lamination process generally involves bonding or impregnating profiles with plastics resins and compressing them under heat.

Cross-References. Establishments primarily engaged in--"
326140,"This industry comprises establishments primarily engaged in manufacturing polystyrene foam products.

Cross-References."
326150,"This industry comprises establishments primarily engaged in manufacturing plastics foam products (except polystyrene).

Cross-References."
326160,"This industry comprises establishments primarily engaged in manufacturing plastics bottles.

Cross-References."
326191,"This U.S. industry comprises establishments primarily engaged in manufacturing plastics or fiberglass plumbing fixtures.  Examples of products made by these establishments are plastics or fiberglass bathtubs, hot tubs, portable toilets, and shower stalls.

Cross-References. Establishments primarily engaged in--"
326199,"This U.S. industry comprises establishments primarily engaged in manufacturing plastics products (except film, sheet, bags, profile shapes, pipes, pipe fittings, laminates, foam products, bottles, plumbing fixtures, and hoses).

Illustrative Examples:

Inflatable plastics swimming pool rafts and similar flotation devices manufacturing
Plastics air mattresses manufacturing
Plastics bottle caps and lids manufacturing
Plastics bowls and bowl covers manufacturing
Plastics clothes hangers manufacturing
Plastics cups (except foam) manufacturing
Plastics dinnerware (except foam) manufacturing
Plastics gloves manufacturing
Plastics hardware manufacturing
Plastics siding manufacturing
Plastics trash containers manufacturing
Resilient floor coverings (e.g., sheet, tiles) manufacturing


Cross-References. Establishments primarily engaged in--"
326211,"This U.S. industry comprises establishments primarily engaged in manufacturing tires and inner tubes from natural and synthetic rubber.

Cross-References."
326212,"This U.S. industry comprises establishments primarily engaged in retreading or rebuilding tires.

Cross-References. Establishments primarily engaged in--"
326220,"This industry comprises establishments primarily engaged in manufacturing rubber hose and/or plastics (reinforced) hose and belting from natural and synthetic rubber and/or plastics resins.  Establishments manufacturing garden hoses from purchased hose are included in this industry.

Cross-References. Establishments primarily engaged in--"
326291,"This U.S. industry comprises establishments primarily engaged in manufacturing rubber goods (except tubing) for mechanical applications, using the processes of molding, extruding or lathe-cutting.  Products of this industry are generally parts for motor vehicles, machinery, and equipment.

Cross-References."
326299,"This U.S. industry comprises establishments primarily engaged in manufacturing rubber products (except tires; hoses and belting; and molded, extruded, and lathe-cut rubber goods for mechanical applications (except rubber tubing)) from natural and synthetic rubber.  Establishments manufacturing rubber tubing made from natural and synthetic rubber, regardless of process used, are included in this industry.

Illustrative Examples:

Birth control devices (i.e., diaphragms, prophylactics) manufacturing
Latex foam rubber manufacturing
Reclaiming rubber from waste and scrap
Rubber balloons manufacturing
Rubber bands manufacturing
Rubber floor mats (e.g., door, bath) manufacturing
Rubber hair care products (e.g., combs, curlers) manufacturing
Rubber tubing manufacturing


Cross-References. Establishments primarily engaged in--"
327110,"This industry comprises establishments primarily engaged in shaping, molding, glazing, and firing pottery, ceramics, plumbing fixtures, and electrical supplies made entirely or partly of clay or other ceramic materials.

Illustrative Examples:

Bathroom accessories, vitreous china and earthenware, manufacturing
Ceramic or ferrite permanent magnets manufacturing
Chemical stoneware (i.e., pottery products) manufacturing
Clay and ceramic statuary manufacturing
Earthenware table and kitchen articles, coarse, manufacturing
Porcelain electrical insulators manufacturing
Vitreous china plumbing fixtures manufacturing


Cross-References. Establishments primarily engaged in--"
327120,"This industry comprises establishments primarily engaged in shaping, molding, baking, burning, or hardening clay refractories, nonclay refractories, ceramic tile, structural clay tile, brick, and other structural clay building materials.  A refractory is a material that will retain its shape and chemical identity when subjected to high temperatures and is used in applications that require extreme resistance to heat, such as furnace linings.

Cross-References. Establishments primarily engaged in--"
327211,"This U.S. industry comprises establishments primarily engaged in (1) manufacturing flat glass by melting silica sand or cullet or (2) manufacturing both flat glass and laminated glass by melting silica sand or cullet.

Cross-References."
327212,"This U.S. industry comprises establishments primarily engaged in manufacturing glass by melting silica sand or cullet and making pressed, blown, or shaped glass or glassware (except glass packaging containers).

Cross-References. Establishments primarily engaged in--"
327213,"This U.S. industry comprises establishments primarily engaged in manufacturing glass packaging, bottling, and canning containers.
"
327215,"This U.S. industry comprises establishments primarily engaged in coating, laminating, tempering, or shaping purchased glass.

Cross-References. Establishments primarily engaged in--"
327310,"This industry comprises establishments primarily engaged in manufacturing Portland, natural, masonry, pozzolanic, and other hydraulic cements.  Cement manufacturing establishments may calcine earths or mine, quarry, manufacture, or purchase lime.

Cross-References. Establishments primarily engaged in--"
327320,"This industry comprises establishments, such as batch plants or mix plants, primarily engaged in manufacturing concrete delivered to a purchaser in a plastic and unhardened state.  Ready-mix concrete manufacturing establishments may mine, quarry, or purchase sand and gravel.

Cross-References. Establishments primarily engaged in--"
327331,This U.S. industry comprises establishments primarily engaged in manufacturing concrete block and brick.
327332,This U.S. industry comprises establishments primarily engaged in manufacturing concrete pipe.
327390,"This industry comprises establishments primarily engaged in manufacturing concrete products (except block, brick, and pipe).

Cross-References. Establishments primarily engaged in--"
327410,"This industry comprises establishments primarily engaged in manufacturing lime from calcitic limestone, dolomitic limestone, or other calcareous materials, such as coral, chalk, and shells.  Lime manufacturing establishments may mine, quarry, collect, or purchase the sources of calcium carbonate.

Cross-References."
327420,"This industry comprises establishments primarily engaged in manufacturing gypsum products, such as wallboard, plaster, plasterboard, molding, ornamental moldings, statuary, and architectural plaster work.  Gypsum product manufacturing establishments may mine, quarry, or purchase gypsum.

Cross-References."
327910,"This industry comprises establishments primarily engaged in manufacturing abrasive grinding wheels of natural or synthetic materials, abrasive-coated products, and other abrasive products.

Illustrative Examples:

Aluminum oxide (fused) abrasives manufacturing
Buffing and polishing wheels, abrasive and nonabrasive, manufacturing
Diamond dressing wheels manufacturing
Sandpaper manufacturing
Silicon carbide abrasives manufacturing
Whetstones manufacturing


Cross-References. Establishments primarily engaged in--"
327991,"This U.S. industry comprises establishments primarily engaged in cutting, shaping, and finishing granite, marble, limestone, slate, and other stone for building and miscellaneous uses.  Stone product manufacturing establishments may mine, quarry, or purchase stone.

Cross-References. Establishments primarily engaged in--"
327992,"This U.S. industry comprises establishments primarily engaged in calcining, dead burning, or otherwise processing beyond beneficiation, clays, ceramic and refractory minerals, barite, and miscellaneous nonmetallic minerals.

Cross-References."
327993,"This U.S. industry comprises establishments primarily engaged in manufacturing mineral wool and mineral wool (i.e., fiberglass) insulation products made of such siliceous materials as rock, slag, and glass or combinations thereof.

Cross-References."
327999,"This U.S. industry comprises establishments primarily engaged in manufacturing nonmetallic mineral products (except pottery, ceramics, and plumbing fixtures; clay building materials and refractories; glass and glass products; cement; ready-mix concrete; concrete products; lime; gypsum products; abrasive products; cut stone and stone products; ground and treated minerals and earth; and mineral wool).

Illustrative Examples:

Dry mix concrete manufacturing
Mica products manufacturing
Manmade and engineered proppants (e.g., resin-coated sand, ceramic materials) manufacturing
Stucco and stucco products manufacturing
Synthetic stones, for gem stones and industrial use, manufacturing 


Cross-References. Establishments primarily engaged in--"
423110,"This industry comprises establishments primarily engaged in the merchant wholesale distribution of new and used passenger automobiles, trucks, trailers, and other motor vehicles, such as motorcycles, motor homes, and snowmobiles.
"
423120,"This industry comprises establishments primarily engaged in the merchant wholesale distribution of motor vehicle supplies, accessories, tools, and equipment; and new motor vehicle parts (except new tires and tubes).

Cross-References. Establishments primarily engaged in--"
423130,"This industry comprises establishments primarily engaged in the merchant wholesale distribution of new and/or used tires and tubes for passenger and commercial vehicles.

Cross-References. Establishments primarily engaged in--"
423140,"This industry comprises establishments primarily engaged in the merchant wholesale distribution of used motor vehicle parts (except used tires and tubes) and establishments primarily engaged in dismantling motor vehicles for the purpose of selling the parts.

Cross-References. Establishments primarily engaged in--"
423210,"This industry comprises establishments primarily engaged in the merchant wholesale distribution of furniture (except hospital beds, medical furniture, and drafting tables).

Illustrative Examples:

Household-type furniture merchant wholesalers
Outdoor furniture merchant wholesalers
Mattresses merchant wholesalers
Public building furniture merchant wholesalers
Office furniture merchant wholesalers
Religious furniture merchant wholesalers


Cross-References. Establishments primarily engaged in--"
423220,"This industry comprises establishments primarily engaged in the merchant wholesale distribution of home furnishings and/or housewares.

Illustrative Examples:

Carpet merchant wholesalers
Floor coverings (except wood flooring) merchant wholesalers
Glassware, household-type, merchant wholesalers
Chinaware, household-type, merchant wholesalers
Lamps (i.e., lighting fixtures) merchant wholesalers
Household-type cooking utensils merchant wholesalers
Curtains merchant wholesalers
Draperies merchant wholesalers
Linens (e.g., bath, bed, table) merchant wholesalers
Window shades and blinds merchant wholesalers


Cross-References. Establishments primarily engaged in--"
423310,"This industry comprises establishments primarily engaged in the merchant wholesale distribution of lumber; plywood; reconstituted wood fiber products; wood fencing; doors and windows and their frames (all materials); wood roofing and siding; and/or other wood or metal millwork.

Cross-References. Establishments primarily engaged in--"
423320,"This industry comprises establishments primarily engaged in the merchant wholesale distribution of stone, cement, lime, construction sand, and gravel; brick; asphalt and concrete mixtures; and/or concrete, stone, and structural clay products.

Cross-References. Establishments primarily engaged in--"
423330,"This industry comprises establishments primarily engaged in the merchant wholesale distribution of nonwood roofing and nonwood siding and insulation materials.

Cross-References."
423390,"This industry comprises (1) establishments primarily engaged in the merchant wholesale distribution of manufactured homes (i.e., mobile homes) and/or prefabricated buildings and (2) establishments primarily engaged in the merchant wholesale distribution of construction materials (except lumber, plywood, millwork, wood panels, brick, stone, roofing, siding, electrical and wiring supplies, and insulation materials).

Illustrative Examples:

Flat glass merchant wholesalers
Prefabricated buildings (except wood) merchant wholesalers
Ornamental ironwork merchant wholesalers
Fencing and fencing accessories (except wood) merchant wholesalers
Plate glass merchant wholesalers
Storage bins merchant wholesalers


Cross-References. Establishments primarily engaged in--"
423410,"This industry comprises establishments primarily engaged in the merchant wholesale distribution of photographic equipment and supplies (except office equipment).

Illustrative Examples:

Photofinishing equipment merchant wholesalers
Television cameras merchant wholesalers
Photographic camera equipment and supplies merchant wholesalers
Video cameras (except household-type) merchant wholesalers
Photographic film and plates merchant wholesalers


Cross-References. Establishments primarily engaged in--"
